date,amount,category,description
20-07-2024,125.65,Income,Salary
16-08-2024,99.99,Expense,Dr. Martens
15-08-2024,300.0,Income,Side Gig
01-08-2024,1500,Income,Salary for August
02-08-2024,50,Expense,Groceries
03-08-2024,30,Expense,Coffee shop
05-08-2024,120,Expense,Utility bill
07-08-2024,200,Income,Freelance work
10-08-2024,75,Expense,Restaurant
12-08-2024,15,Expense,Parking
15-08-2024,200,Expense,Rent
18-08-2024,500,Income,Investment return
20-08-2024,40,Expense,Internet bill
22-08-2024,25,Expense,Book purchase
25-08-2024,60,Expense,Transportation
28-08-2024,100,Income,Gift
